frequency,e',e'',u',u''
8885468750.0000,   4.3245,   0.4583,   0.9898,   0.0162
8888062500.0000,   4.3250,   0.4579,   0.9896,   0.0169
8890656250.0000,   4.3236,   0.4576,   0.9900,   0.0175
8893250000.0000,   4.3182,   0.4584,   0.9913,   0.0182
8895843750.0000,   4.3163,   0.4586,   0.9916,   0.0186
8898437500.0000,   4.3194,   0.4542,   0.9917,   0.0172
8901031250.0000,   4.3128,   0.4617,   0.9923,   0.0188
8903625000.0000,   4.3167,   0.4571,   0.9925,   0.0174
8906218750.0000,   4.3179,   0.4658,   0.9917,   0.0193
8908812500.0000,   4.3150,   0.4641,   0.9937,   0.0185
8911406250.0000,   4.3165,   0.4672,   0.9934,   0.0187
8914000000.0000,   4.3127,   0.4670,   0.9944,   0.0178
8916593750.0000,   4.3153,   0.4679,   0.9943,   0.0167
8919187500.0000,   4.3156,   0.4725,   0.9944,   0.0172
8921781250.0000,   4.3138,   0.4703,   0.9955,   0.0170
8924375000.0000,   4.3132,   0.4712,   0.9959,   0.0164
8926968750.0000,   4.3183,   0.4750,   0.9955,   0.0158
8929562500.0000,   4.3202,   0.4755,   0.9948,   0.0153
8932156250.0000,   4.3174,   0.4763,   0.9959,   0.0157
8934750000.0000,   4.3221,   0.4769,   0.9953,   0.0150
8937343750.0000,   4.3200,   0.4812,   0.9964,   0.0164
8939937500.0000,   4.3204,   0.4761,   0.9968,   0.0142
8942531250.0000,   4.3262,   0.4829,   0.9956,   0.0142
8945125000.0000,   4.3240,   0.4806,   0.9960,   0.0133
8947718750.0000,   4.3267,   0.4788,   0.9956,   0.0123
8950312500.0000,   4.3296,   0.4840,   0.9950,   0.0137
8952906250.0000,   4.3337,   0.4781,   0.9941,   0.0123
8955500000.0000,   4.3345,   0.4826,   0.9937,   0.0135
8958093750.0000,   4.3327,   0.4802,   0.9934,   0.0124
8960687500.0000,   4.3357,   0.4789,   0.9925,   0.0105
8963281250.0000,   4.3367,   0.4810,   0.9922,   0.0122
8965875000.0000,   4.3347,   0.4789,   0.9920,   0.0118
8968468750.0000,   4.3341,   0.4750,   0.9918,   0.0128
8971062500.0000,   4.3337,   0.4732,   0.9915,   0.0122
8973656250.0000,   4.3345,   0.4756,   0.9906,   0.0123
8976250000.0000,   4.3321,   0.4756,   0.9900,   0.0131
8978843750.0000,   4.3351,   0.4704,   0.9891,   0.0127
8981437500.0000,   4.3328,   0.4732,   0.9882,   0.0148
8984031250.0000,   4.3332,   0.4662,   0.9878,   0.0127
8986625000.0000,   4.3305,   0.4659,   0.9876,   0.0139
8989218750.0000,   4.3316,   0.4656,   0.9869,   0.0149
8991812500.0000,   4.3292,   0.4639,   0.9861,   0.0152
8994406250.0000,   4.3272,   0.4588,   0.9857,   0.0148
8997000000.0000,   4.3227,   0.4618,   0.9860,   0.0168
8999593750.0000,   4.3192,   0.4563,   0.9862,   0.0169
9002187500.0000,   4.3159,   0.4558,   0.9868,   0.0174
9004781250.0000,   4.3124,   0.4547,   0.9855,   0.0175
9007375000.0000,   4.3076,   0.4539,   0.9862,   0.0188
9009968750.0000,   4.3121,   0.4498,   0.9857,   0.0180
9012562500.0000,   4.3031,   0.4525,   0.9867,   0.0201
9015156250.0000,   4.2962,   0.4493,   0.9880,   0.0185
9017750000.0000,   4.2971,   0.4487,   0.9874,   0.0210
